# map seed opt_first repeats opt_success con_success opt_deterministic con_deterministic opt_run_time con_run_time opt_wall_mean con_wall_mean opt_cpu_time con_cpu_time opt_cpu_mean con_cpu_mean opt_iterations con_iterations opt_nodes con_nodes opt_nn_checks con_nn_checks opt_connection_checks con_connection_checks opt_collision_checks con_collision_checks opt_tree_mem con_tree_mem opt_path_mem con_path_mem
map_0 42 1 5 5 5 1 1 0.000936417 0.001176375 0.0009365002 0.0011760336 0.000936 0.001174 0.0009352 0.0011744 4984 2172 3145 1800 26261 986595 18 809438 75991 2172 23.3564453125 8.7890625 0.1962890625 1.41796875
map_1 42 0 5 5 5 1 1 0.001075125 0.000551458 0.0010602084 0.0005517668 0.001073 0.00055 0.0010582 0.0005508 5763 1534 4875 1154 27234 475980 301 332631 85786 1534 31.8037109375 5.634765625 0.19921875 1.4443359375
map_2 42 1 5 5 5 1 1 0.000928875 0.000954583 0.0009352834 0.0009544496 0.000929 0.000953 0.0009336 0.0009536 5050 2012 3550 1585 28657 812740 36 627627 77875 2012 25.333984375 7.7392578125 0.2138671875 1.51171875
map_3 42 0 5 5 5 1 1 0.001224042 0.000517875 0.0012118998 0.0005184418 0.001221 0.000517 0.0012096 0.000517 6442 1478 4091 1142 35207 432096 302 325964 94294 1478 27.9755859375 5.576171875 0.2021484375 1.3974609375
map_4 42 1 5 5 5 1 1 0.001094292 0.004225416 0.0011072166 0.004230775 0.001094 0.004222 0.001106 0.0042282 6098 4593 4167 3330 27406 3887000 215 2770840 88162 4592 28.3466796875 16.259765625 0.2109375 1.53515625
map_5 42 0 5 5 5 1 1 0.001153167 0.00103375 0.0011691086 0.0010331334 0.00115 0.001029 0.0011676 0.0010306 6492 2025 5239 1679 37054 863903 477 704298 94552 2025 33.5810546875 8.1982421875 0.1875 1.3974609375
map_6 42 1 5 5 5 1 1 0.001452833 0.000957125 0.001463325 0.000957475 0.001449 0.000956 0.0014612 0.0009558 7949 1953 5870 1619 46812 797558 834 654733 114993 1953 36.662109375 7.9052734375 0.2138671875 1.3359375
map_7 42 0 5 5 5 1 1 0.001086 0.003517584 0.0010908998 0.0039612418 0.001083 0.003517 0.001089 0.0039594 6020 3776 4509 3058 36991 2854121 246 2336512 87446 3776 30.0166015625 14.931640625 0.2197265625 1.39453125
map_8 42 1 5 5 5 1 1 0.001060125 0.002817417 0.0010761832 0.0028174 0.00106 0.002814 0.001075 0.002814 5825 3722 4202 2725 34836 2537599 81 1855967 80033 3722 28.517578125 13.3056640625 0.1875 1.517578125
map_9 42 0 5 5 5 1 1 0.001074875 0.001916542 0.0010858584 0.001695075 0.001075 0.001913 0.001084 0.001691 5862 2425 4600 1898 31171 1171699 134 899797 87397 2425 30.4609375 9.267578125 0.169921875 1.3125
map_0 43 0 5 5 5 1 1 0.001103541 0.000535542 0.001118033 0.00053765 0.001101 0.000534 0.001116 0.0005374 6169 1547 4189 1111 28359 468887 151 308388 88387 1547 28.4541015625 5.4248046875 0.1904296875 1.3681640625
map_1 43 1 5 5 5 1 1 0.001115375 0.000627958 0.0011289082 0.0006315166 0.001116 0.000629 0.0011278 0.0006304 6098 1593 4559 1290 33424 514539 182 415609 87840 1593 30.2607421875 6.298828125 0.158203125 1.3388671875
map_2 43 0 5 5 5 1 1 0.001310708 0.000336833 0.0013165918 0.0003379334 0.001307 0.000337 0.0013144 0.0003374 7106 1163 5407 913 46055 273261 481 208224 104542 1163 34.4013671875 4.4580078125 0.17578125 1.3828125
map_3 43 1 5 5 5 1 1 0.001202375 0.001385542 0.0012169082 0.0015077082 0.001203 0.001382 0.001215 0.0015044 6649 2243 5017 1884 35360 1031684 514 886586 95443 2242 32.4970703125 9.19921875 0.1962890625 1.359375
map_4 43 0 5 5 5 1 1 0.001275375 0.003195375 0.0012948666 0.0031952834 0.001274 0.003192 0.001293 0.0031924 7007 3872 4550 2968 31639 2823978 454 2202182 97724 3872 30.216796875 14.4921875 0.1962890625 1.857421875
map_5 43 1 5 5 5 1 1 0.00110075 0.002695125 0.0011122748 0.0026937416 0.001097 0.002692 0.0011104 0.002691 6022 3489 3923 2725 32072 2360709 187 1855686 85313 3488 27.1552734375 13.3056640625 0.158203125 1.693359375
map_6 43 0 5 5 5 1 1 0.00103525 0.001618458 0.0010417166 0.0016206498 0.001032 0.001618 0.0010398 0.0016192 5678 2660 3434 2083 36139 1414283 69 1083839 79896 2660 24.767578125 10.1708984375 0.1962890625 1.40625
map_7 43 1 5 5 5 1 1 0.001219084 0.0014745 0.0012320668 0.0014750418 0.001219 0.001472 0.0012306 0.001473 6734 2520 4742 1965 40042 1295161 452 965172 91433 2520 31.154296875 9.5947265625 0.158203125 1.46484375
map_8 43 0 5 5 5 1 1 0.001376333 0.0006825 0.001390525 0.0006831666 0.001374 0.000681 0.0013888 0.0006816 7522 1675 4954 1313 65578 582506 452 430655 103761 1675 32.189453125 6.4111328125 0.2080078125 1.3623046875
map_9 43 1 5 5 5 1 1 0.001252333 0.002992833 0.0012649166 0.0029912084 0.001252 0.002989 0.001263 0.0029884 7020 3817 5705 2818 32518 2694221 540 1984133 101491 3817 35.8564453125 13.759765625 0.2109375 1.3916015625
map_0 44 1 5 5 5 1 1 0.000913667 0.000457541 0.0009261336 0.0004562248 0.00091 0.000454 0.0009242 0.0004554 5017 1371 3391 1069 24388 374144 54 285540 74406 1371 24.5576171875 5.2197265625 0.181640625 1.4296875
map_1 44 0 5 5 5 1 1 0.00114175 0.000835583 0.0011552166 0.0008440998 0.001138 0.000832 0.0011528 0.0008426 6407 1866 5132 1479 32026 707129 334 546381 94387 1866 33.05859375 7.2216796875 0.1845703125 1.3388671875
map_2 44 1 5 5 5 1 1 0.000989791 0.002619875 0.0010068748 0.0026186664 0.000986 0.002617 0.001005 0.0026162 5487 3597 4451 2617 28646 2366394 53 1710980 81638 3597 29.7333984375 12.7783203125 0.1904296875 1.30078125
map_3 44 0 5 5 5 1 1 0.00123625 0.001173 0.0012504586 0.0011155 0.001236 0.001172 0.001249 0.0011136 6812 1810 4683 1487 39292 703671 161 552212 99738 1810 30.8662109375 7.2607421875 0.2109375 1.2978515625
map_4 44 1 5 5 5 1 1 0.001312792 0.001816708 0.0013293668 0.0018187416 0.00131 0.001814 0.0013278 0.001817 7299 2870 5526 2184 35447 1611765 433 1192320 105561 2870 34.982421875 10.6640625 0.2197265625 1.3447265625
map_5 44 0 5 5 5 1 1 0.001123916 0.000646958 0.0011395166 0.000647283 0.001124 0.000645 0.0011374 0.0006464 6219 1577 4918 1310 34762 534462 173 428557 92472 1577 32.013671875 6.396484375 0.17578125 1.318359375
map_6 44 1 5 5 5 1 1 0.001284125 0.001779084 0.001293625 0.0017792084 0.001284 0.001776 0.0012926 0.0017758 6998 2822 5271 2179 38416 1555999 409 1186580 102496 2822 33.7373046875 10.6396484375 0.19921875 1.587890625
map_7 44 0 5 5 5 1 1 0.000999875 0.000291083 0.0010103334 0.0002914998 0.001 0.000291 0.00101 0.0002908 5536 1029 3807 866 25868 227241 173 187356 77681 1029 26.5888671875 4.228515625 0.2080078125 1.34765625
map_8 44 1 5 5 5 1 1 0.001019333 0.001104667 0.001028675 0.0010474082 0.001017 0.001104 0.0010268 0.001046 5490 1762 3512 1444 37447 659932 97 520907 78331 1762 25.1484375 7.05078125 0.169921875 1.353515625
map_9 44 0 5 5 5 1 1 0.001305958 0.000509334 0.0013188752 0.0005093168 0.001306 0.000509 0.0013176 0.0005084 7170 1472 5901 1137 40015 420066 522 323105 103266 1472 36.8134765625 5.5517578125 0.1787109375 1.505859375
map_0 45 0 5 5 5 1 1 0.001243416 0.002648625 0.0012590082 0.0026510834 0.001241 0.002646 0.0012576 0.0026482 6937 3421 5374 2704 36727 2321789 399 1827657 103338 3421 34.240234375 13.203125 0.205078125 1.4443359375
map_1 45 1 5 5 5 1 1 0.0011 0.000417625 0.0011147084 0.0004050252 0.001097 0.000418 0.0011132 0.000404 6111 1226 4763 971 30582 300379 223 235604 92008 1226 31.2568359375 4.7412109375 0.193359375 1.40625
map_2 45 0 5 5 5 1 1 0.001092542 0.005990542 0.0010988252 0.0059884836 0.00109 0.005987 0.0010964 0.0059858 5869 5543 3351 3974 45216 5570571 5 3946325 81691 5543 24.3623046875 19.404296875 0.1875 1.6142578125
map_3 45 1 5 5 5 1 1 0.001194542 0.000275833 0.0012218416 0.0002658916 0.001194 0.000275 0.0012202 0.0002648 6778 878 5335 720 35943 151066 625 129590 102947 878 34.0498046875 3.515625 0.205078125 1.3623046875
map_4 45 0 5 5 5 1 1 0.001134292 0.00057175 0.0011318582 0.0005726918 0.001134 0.000571 0.0011306 0.0005712 6127 1572 4095 1243 33963 457879 70 385994 87234 1572 27.9951171875 6.0693359375 0.193359375 1.447265625
map_5 45 1 5 5 5 1 1 0.00113275 0.001077541 0.0011425418 0.0010782416 0.001133 0.001076 0.0011406 0.0010766 6169 2252 4407 1658 32956 939662 376 686632 87539 2252 29.5185546875 8.095703125 0.181640625 1.3857421875
map_6 45 0 5 5 5 1 1 0.001357709 0.002338291 0.001367342 0.0023381416 0.001354 0.002338 0.0013662 0.0023374 7464 3337 6279 2494 42156 2088289 917 1554340 109649 3337 38.6591796875 12.177734375 0.193359375 1.3857421875
map_7 45 1 5 5 5 1 1 0.001170334 0.00095375 0.0011826084 0.0009523414 0.00117 0.00095 0.0011822 0.00095 6425 2059 4083 1572 39062 808465 99 617425 91798 2059 27.9365234375 7.67578125 0.2197265625 1.470703125
map_8 45 0 5 5 5 1 1 0.001171792 0.000564 0.0011942418 0.0005639002 0.001169 0.000561 0.0011922 0.0005626 6553 1571 4782 1194 32365 469404 155 356203 95154 1571 31.349609375 5.830078125 0.216796875 1.4091796875
map_9 45 1 5 5 5 1 1 0.001114708 0.000289 0.0011282332 0.0002896666 0.001114 0.000289 0.0011274 0.0002894 6074 1114 4064 829 36659 225104 122 171802 88241 1114 27.84375 4.0478515625 0.19921875 1.4150390625
map_0 46 1 5 5 5 1 1 0.000866625 0.000367333 0.0008722588 0.00036835 0.000866 0.000367 0.000871 0.0003674 4655 1196 2022 983 22898 288507 6 241428 65805 1196 17.873046875 4.7998046875 0.1611328125 1.3681640625
map_1 46 0 5 5 5 1 1 0.000917584 0.002029208 0.0009330668 0.0021686248 0.000917 0.002026 0.0009314 0.0021672 5092 2981 3466 2242 31268 1706184 161 1255883 73529 2981 24.923828125 10.947265625 0.1611328125 1.4560546875
map_2 46 1 5 5 5 1 1 0.00101375 0.000827166 0.0010142086 0.0008317166 0.00101 0.000825 0.0010122 0.0008306 5498 1869 4210 1479 28739 691585 83 546847 84082 1869 28.556640625 7.2216796875 0.1904296875 1.4443359375
map_3 46 0 5 5 5 1 1 0.00103975 0.001365 0.0010526418 0.0013709502 0.00104 0.001364 0.001051 0.0013696 5793 2652 4276 1855 29576 1213342 277 859639 84877 2652 28.87890625 9.0576171875 0.1875 1.3974609375
map_4 46 1 5 5 5 1 1 0.001227625 0.000560292 0.001242625 0.0005602918 0.001227 0.000558 0.0012412 0.0005582 6776 1461 4542 1235 32120 446225 266 380933 96910 1461 30.177734375 6.0302734375 0.19921875 1.3447265625
map_5 46 0 5 5 5 1 1 0.001114542 0.000386791 0.001112275 0.0003868748 0.001115 0.000386 0.0011098 0.0003862 5691 1290 3937 968 29641 305984 157 234017 83571 1290 27.2236328125 4.7265625 0.19921875 1.3212890625
map_6 46 1 5 5 5 1 1 0.000973833 0.001153083 0.0009862998 0.0011598668 0.00097 0.001151 0.0009844 0.0011584 5375 2229 3274 1748 29169 990433 88 763294 77269 2229 23.986328125 8.53515625 0.1611328125 1.3505859375
