# map seed opt_first repeats opt_success con_success opt_deterministic con_deterministic opt_run_time con_run_time opt_wall_mean con_wall_mean opt_cpu_time con_cpu_time opt_cpu_mean con_cpu_mean opt_iterations con_iterations opt_nodes con_nodes opt_nn_checks con_nn_checks opt_connection_checks con_connection_checks opt_collision_checks con_collision_checks opt_tree_mem con_tree_mem opt_path_mem con_path_mem
map_0 42 1 5 5 5 1 1 0.001802125 0.001762583 0.0018094246 0.0017621916 0.001802 0.001762 0.0018078 0.001761 9449 16353 1647 1368 90686 1821978 100 467724 112624 16353 16.0419921875 6.6796875 0.26953125 1.5498046875
map_1 42 0 5 5 5 1 1 0.002631834 0.00125775 0.0026352002 0.0012629832 0.00263 0.001255 0.0026336 0.0012614 14055 3553 2372 1413 158055 1351438 187 498743 171338 3553 19.58203125 6.8994140625 0.2548828125 1.5146484375
map_2 42 1 5 5 5 1 1 0.003026625 0.002405208 0.003039825 0.0024088832 0.003026 0.002405 0.0030394 0.0024064 16046 12709 2734 1444 178398 2851008 137 521102 196737 12709 21.349609375 7.05078125 0.28125 1.599609375
map_3 42 0 5 5 5 1 1 0.001770084 0.000841375 0.0017662 0.0008410666 0.001767 0.00084 0.0017646 0.0008396 9282 2340 847 1307 120159 803549 78 426562 100804 2339 12.1357421875 6.3818359375 0.2255859375 1.330078125
map_4 42 1 5 5 5 1 1 0.002300709 0.013525583 0.0023143502 0.0134971166 0.002301 0.013522 0.0023126 0.0134928 12020 17680 1849 4254 160051 16635877 36 4523282 151299 17680 17.0283203125 20.771484375 0.2373046875 1.880859375
map_5 42 0 5 5 5 1 1 0.002586542 0.001797333 0.0025943168 0.001798075 0.002585 0.001795 0.0025914 0.0017958 13992 5111 2213 1520 132577 2084779 173 577028 155186 5111 18.8056640625 7.421875 0.24609375 1.529296875
map_6 42 1 5 5 5 1 1 0.003407792 0.001909042 0.0034071918 0.0019085168 0.003404 0.001905 0.0034042 0.0019054 17920 4782 3294 1771 178524 2064210 295 784076 210666 4782 24.083984375 8.6474609375 0.2431640625 1.4853515625
map_7 42 0 5 5 5 1 1 0.002035084 0.001138125 0.0020367 0.001138725 0.002035 0.001139 0.0020352 0.0011386 10717 3041 1874 1441 107985 1138947 95 518708 131594 3041 17.150390625 7.0361328125 0.2021484375 1.5146484375
map_8 42 1 5 5 5 1 1 0.002369375 0.002280292 0.0027538832 0.0022717502 0.002367 0.002278 0.0024282 0.00227 11680 15964 1630 1499 117947 2447294 43 561734 147276 15964 15.958984375 7.3193359375 0.1904296875 1.5732421875
map_9 42 0 5 5 5 1 1 0.002279167 0.000418125 0.0022853334 0.00041825 0.002277 0.000417 0.0022822 0.0004174 11459 3453 1179 798 197156 374557 21 159134 130264 3453 13.7568359375 3.896484375 0.2607421875 1.3740234375
map_0 43 0 5 5 5 1 1 0.00150375 0.001102167 0.0015046416 0.0011010752 0.001502 0.001099 0.001502 0.0010982 7890 3035 1323 1341 83681 1151339 142 449151 89425 3035 14.4599609375 6.5478515625 0.205078125 1.44140625
map_1 43 1 5 5 5 1 1 0.002751167 0.00345875 0.0027582832 0.0034614002 0.002751 0.003458 0.002756 0.0034598 14275 6013 2914 2365 139178 3860350 98 1398037 175929 6013 22.228515625 11.5478515625 0.2783203125 1.9775390625
map_2 43 0 5 5 5 1 1 0.003202792 0.001460541 0.0032080582 0.001460375 0.003198 0.00146 0.0032054 0.0014594 16825 4100 4163 1469 155549 1613432 202 539181 197366 4100 28.3271484375 7.1728515625 0.3046875 1.62890625
map_3 43 1 5 5 5 1 1 0.003442208 0.000731042 0.0034441498 0.0007316832 0.003442 0.00073 0.0034418 0.0007302 18170 2074 3549 1208 169482 698997 361 364803 211720 2074 25.3291015625 5.8984375 0.2666015625 1.435546875
map_4 43 0 5 5 5 1 1 0.003515834 0.000354708 0.0035178502 0.0003546168 0.003516 0.000355 0.0035166 0.0003544 18389 1368 2696 838 197112 319887 82 175478 209351 1368 21.1640625 4.091796875 0.2958984375 1.423828125
map_5 43 1 5 5 5 1 1 0.002927833 0.000562125 0.0029381168 0.000562775 0.002924 0.000561 0.0029348 0.000561 15862 5737 2083 821 139959 516369 149 168412 185093 5737 18.1708984375 4.0087890625 0.24609375 1.3828125
map_6 43 0 5 5 5 1 1 0.003429541 0.001512 0.0034440668 0.0015114832 0.00343 0.001509 0.0034436 0.001509 18460 7077 4104 1387 210703 1656282 470 480797 198571 7077 28.0390625 6.7724609375 0.2783203125 1.8134765625
map_7 43 1 5 5 5 1 1 0.002141666 0.000704166 0.0021473748 0.0007036834 0.002141 0.0007 0.0021468 0.000702 11199 2536 1440 1048 106450 726250 82 274424 140043 2536 15.03125 5.1171875 0.2109375 1.5029296875
map_8 43 0 5 5 5 1 1 0.002658042 0.001713916 0.002666575 0.001714025 0.002654 0.001714 0.0026638 0.0017128 14027 6767 2495 1369 121730 1997806 188 468156 156786 6767 20.1826171875 6.6845703125 0.2138671875 1.5673828125
map_9 43 1 5 5 5 1 1 0.003620375 0.028737625 0.0036395248 0.028739825 0.003619 0.028729 0.0036374 0.0287354 18598 44651 2567 6714 319367 33701867 418 11268733 180374 44650 20.5341796875 32.783203125 0.2490234375 2.14453125
map_0 44 1 5 5 5 1 1 0.002434083 0.004662375 0.00244265 0.0046649752 0.00243 0.00466 0.00244 0.004662 12709 9234 2096 2503 135105 5557639 154 1566177 138133 9234 18.234375 12.2216796875 0.240234375 1.892578125
map_1 44 0 5 5 5 1 1 0.002416375 0.001881791 0.0024226918 0.0018824334 0.002413 0.001881 0.0024206 0.0018822 12665 3943 1460 1823 127071 2012673 181 830085 158622 3943 15.12890625 8.9013671875 0.2724609375 1.4033203125
map_2 44 1 5 5 5 1 1 0.001582084 0.000929458 0.0015874088 0.0009295832 0.001579 0.000928 0.0015852 0.0009278 8216 2635 1313 1282 90480 947163 3 410429 103384 2635 14.4111328125 6.259765625 0.19921875 1.4091796875
map_3 44 0 5 5 5 1 1 0.001054041 0.004637333 0.001056175 0.0046382502 0.001052 0.004634 0.0010542 0.0046364 5547 8669 355 2659 51184 5351543 7 1766430 66953 8669 9.7333984375 12.9833984375 0.193359375 1.3916015625
map_4 44 1 5 5 5 1 1 0.001533167 0.000775375 0.0015427166 0.0007747 0.001532 0.000773 0.0015402 0.0007736 8278 2408 1064 1149 65335 789946 51 329714 94493 2408 13.1953125 5.6103515625 0.24609375 1.494140625
map_5 44 0 5 5 5 1 1 0.002164792 0.005387167 0.0021788582 0.0053881416 0.002162 0.005384 0.0021774 0.0053852 11412 25734 1173 2766 101281 5822769 15 1911559 126131 25734 13.7275390625 13.505859375 0.2197265625 1.6904296875
map_6 44 1 5 5 5 1 1 0.002269125 0.006562542 0.0022769168 0.0065620082 0.002265 0.006559 0.002274 0.006559 11801 11832 2265 2925 126777 7970988 272 2138320 140881 11832 19.0595703125 14.2822265625 0.2314453125 1.9453125
