# map seed opt_first repeats opt_success con_success opt_deterministic con_deterministic opt_run_time con_run_time opt_wall_mean con_wall_mean opt_cpu_time con_cpu_time opt_cpu_mean con_cpu_mean opt_iterations con_iterations opt_nodes con_nodes opt_nn_checks con_nn_checks opt_connection_checks con_connection_checks opt_collision_checks con_collision_checks opt_tree_mem con_tree_mem opt_path_mem con_path_mem
map_0 42 1 5 5 5 1 1 0.001327542 0.004647875 0.0013854752 0.0046398252 0.001327 0.004647 0.00138 0.0046366 6922 4533 5553 3560 42963 4156111 822 3167883 104836 4533 35.1142578125 17.3828125 0.1904296875 1.6669921875
map_1 42 0 5 5 5 1 1 0.001256458 0.000210583 0.0012575084 0.0002118084 0.001256 0.000209 0.0012538 0.0002112 6599 908 5511 735 36532 151687 659 135041 99970 908 34.9091796875 3.5888671875 0.1875 1.3447265625
map_2 42 1 5 5 5 1 1 0.001175416 0.001092167 0.0011785666 0.0011649334 0.001176 0.001089 0.0011776 0.0011624 6002 2141 4704 1656 32352 907865 176 684976 87926 2141 30.96875 8.0859375 0.2109375 1.388671875
map_3 42 0 5 5 5 1 1 0.001514167 0.006099125 0.00153175 0.0062050664 0.001514 0.00609 0.0015298 0.0062004 8350 5451 5318 4067 57916 5542390 683 4133186 122256 5451 33.966796875 19.8583984375 0.1962890625 1.2685546875
map_4 42 1 5 5 5 1 1 0.001198584 0.000341083 0.0012192584 0.0003417166 0.001196 0.00034 0.0012174 0.00034 6625 1037 4746 841 33902 228433 344 176754 96662 1037 31.173828125 4.1064453125 0.2255859375 1.3857421875
map_5 42 0 5 5 5 1 1 0.001369333 0.000682834 0.0013671664 0.0006856918 0.001369 0.00068 0.0013656 0.0006844 7330 3015 5033 1250 52064 577320 541 390229 106429 3015 32.5751953125 6.103515625 0.2021484375 1.353515625
map_6 42 1 5 5 5 1 1 0.001326916 0.000623917 0.0013364084 0.0006298418 0.001324 0.000623 0.0013334 0.0006288 7341 1497 6225 1294 42477 511051 876 418170 110045 1497 38.3955078125 6.318359375 0.2373046875 1.3125
map_7 42 0 5 5 5 1 1 0.00093425 0.000451833 0.00094895 0.0004516168 0.000931 0.000452 0.0009472 0.0004508 5263 1385 4190 1102 27496 353136 209 303402 78695 1385 28.458984375 5.380859375 0.1875 1.4208984375
map_8 42 1 5 5 5 1 1 0.000994709 0.00105575 0.000995892 0.0011247916 0.000994 0.001056 0.0009946 0.0011028 5421 2136 4018 1666 28587 902733 473 693203 81358 2136 27.619140625 8.134765625 0.1962890625 1.3359375
map_9 42 0 5 5 5 1 1 0.001179958 0.000754 0.0012201498 0.00075485 0.001178 0.000751 0.0012186 0.0007528 6639 1700 4815 1426 46039 619395 694 507933 96582 1700 31.5107421875 6.962890625 0.181640625 1.3447265625
