# map seed opt_first repeats opt_success con_success opt_deterministic con_deterministic opt_run_time con_run_time opt_wall_mean con_wall_mean opt_cpu_time con_cpu_time opt_cpu_mean con_cpu_mean opt_iterations con_iterations opt_nodes con_nodes opt_nn_checks con_nn_checks opt_connection_checks con_connection_checks opt_collision_checks con_collision_checks opt_tree_mem con_tree_mem opt_path_mem con_path_mem
map_0 42 1 5 5 5 1 1 0.00184125 0.000800667 0.0018598168 0.0008035002 0.00184 0.000797 0.0018584 0.0008012 9858 2075 3181 1364 69548 729208 420 464741 119327 2075 23.5322265625 6.66015625 0.263671875 1.3916015625
map_1 42 0 5 5 5 1 1 0.001562583 0.00060275 0.0015736916 0.0006031416 0.001562 0.000603 0.0015708 0.0006034 8201 1691 3769 1167 53131 539588 104 340260 108836 1691 26.4033203125 5.6982421875 0.2724609375 1.400390625
map_2 42 1 5 5 5 1 1 0.002573167 0.000964584 0.0025588748 0.000967992 0.002572 0.000963 0.0025584 0.0009672 13677 2347 5147 1446 91473 905867 671 522359 186689 2347 33.1318359375 7.060546875 0.287109375 1.44140625
map_3 42 0 5 5 5 1 1 0.001277666 0.001143 0.0012916582 0.0011446418 0.001274 0.001143 0.00129 0.0011444 6931 2668 2842 1529 45115 1118533 16 583887 99796 2668 21.876953125 7.4658203125 0.19921875 1.341796875
map_4 42 1 5 5 5 1 1 0.001914041 0.000790542 0.0019294662 0.0007917336 0.001915 0.000789 0.0019292 0.0007908 10286 2115 5228 1375 62551 693368 351 472279 147247 2115 33.52734375 6.7138671875 0.240234375 1.51171875
map_5 42 0 5 5 5 1 1 0.001867375 0.000663083 0.0018781584 0.0006651334 0.001866 0.000663 0.0018758 0.0006644 9839 1849 3749 1193 78783 612985 16 355803 134534 1849 26.3056640625 5.8251953125 0.22265625 1.4853515625
map_6 42 1 5 5 5 1 1 0.001697958 0.001093375 0.0017044334 0.0010947502 0.001695 0.001091 0.0017004 0.0010926 8691 12446 2999 1118 86287 995486 25 312258 117664 12446 22.6435546875 5.458984375 0.2314453125 1.447265625
map_7 42 0 5 5 5 1 1 0.00231125 0.000941541 0.0023119832 0.0009412168 0.002311 0.000939 0.0023082 0.0009398 11684 2585 5512 1374 75707 908895 491 471727 158225 2585 34.9140625 6.708984375 0.2607421875 1.60546875
map_8 42 1 5 5 5 1 1 0.001642041 0.0041695 0.001670925 0.0041741084 0.001641 0.004169 0.0016704 0.0041716 8850 8207 3961 2962 61699 4204633 143 2192877 122824 8207 27.3408203125 14.462890625 0.2607421875 1.7490234375
map_9 42 0 5 5 5 1 1 0.001472583 0.006983167 0.0014829582 0.0069834586 0.001469 0.006979 0.00148 0.0069798 7909 6992 3336 3940 53044 7084892 185 3879983 105039 6992 24.2890625 19.23828125 0.1962890625 1.4033203125
map_0 43 0 5 5 5 1 1 0.002061667 0.009190834 0.0020834834 0.0092764586 0.002058 0.009179 0.0020814 0.0092698 11088 8061 3553 4416 76716 9434292 235 4875163 142257 8059 25.3486328125 21.5625 0.263671875 1.96875
map_1 43 1 5 5 5 1 1 0.001389084 0.001453208 0.0013820834 0.0014641664 0.001389 0.001453 0.0013808 0.0014624 7177 2735 1346 1857 46965 1340770 31 861890 86686 2735 14.572265625 9.0673828125 0.1845703125 1.6611328125
map_2 43 0 5 5 5 1 1 0.001619375 0.001807958 0.0016406418 0.0018068666 0.001619 0.001805 0.0016394 0.0018046 8732 3747 2467 1886 57247 1818665 190 888849 119340 3747 20.0458984375 9.208984375 0.1962890625 1.5263671875
map_3 43 1 5 5 5 1 1 0.001505792 0.001515542 0.0015166832 0.0015209168 0.001505 0.001515 0.001516 0.0015196 8141 2966 2201 1869 56145 1418593 147 872564 100990 2966 18.7470703125 9.1259765625 0.2021484375 1.3974609375
map_4 43 0 5 5 5 1 1 0.001990209 0.000818417 0.0019849002 0.0008161582 0.001986 0.000818 0.0019804 0.000814 10109 2379 4757 1287 63978 748545 471 413980 145814 2379 31.2275390625 6.2841796875 0.2373046875 1.646484375
map_5 43 1 5 5 5 1 1 0.002628458 0.001766416 0.0026872084 0.001766175 0.002627 0.001763 0.0026838 0.0017634 13269 3243 4696 2009 99834 1680647 138 1008429 177687 3243 30.9296875 9.8095703125 0.2490234375 1.494140625
map_6 43 0 5 5 5 1 1 0.00268125 0.005386541 0.0026820084 0.005401925 0.00268 0.005384 0.0026562 0.0053988 13057 8879 4672 3476 118480 5243187 355 3019000 169094 8879 30.8125 16.97265625 0.2109375 1.5029296875
map_7 43 1 5 5 5 1 1 0.001598333 0.001361625 0.0016245998 0.0013728916 0.001599 0.001358 0.0016232 0.0013668 8566 2995 4669 1702 52833 1311078 547 724072 121303 2995 30.7978515625 8.310546875 0.2197265625 1.599609375
