# map seed opt_first repeats opt_success con_success opt_deterministic con_deterministic opt_run_time con_run_time opt_wall_mean con_wall_mean opt_cpu_time con_cpu_time opt_cpu_mean con_cpu_mean opt_iterations con_iterations opt_nodes con_nodes opt_nn_checks con_nn_checks opt_connection_checks con_connection_checks opt_collision_checks con_collision_checks opt_tree_mem con_tree_mem opt_path_mem con_path_mem
map_0 42 1 5 5 5 1 1 0.001756084 0.000889 0.0017694084 0.0008891414 0.001755 0.000888 0.001769 0.0008878 9405 2264 4901 1385 60517 831373 492 479027 129188 2264 31.9306640625 6.7626953125 0.2578125 1.359375
map_1 42 0 5 5 5 1 1 0.001842667 0.000612542 0.0018506748 0.0006131 0.00184 0.000612 0.001848 0.0006126 9774 1970 4355 1139 68010 556252 292 324131 136028 1970 29.2646484375 5.5615234375 0.2490234375 1.529296875
map_2 42 1 5 5 5 1 1 0.001872083 0.000576958 0.0018912666 0.0005783832 0.001872 0.000576 0.001891 0.0005768 10019 1749 4713 1149 81217 508254 422 329732 133930 1749 31.0126953125 5.6103515625 0.228515625 1.40625
map_3 42 0 5 5 5 1 1 0.001893084 0.001609667 0.00190335 0.0016128 0.00189 0.001608 0.0019008 0.0016114 9981 3114 3279 1887 88930 1548803 42 889456 136862 3114 24.0107421875 9.2138671875 0.24609375 1.40625
map_4 42 1 5 5 5 1 1 0.001055042 0.000444583 0.0010661834 0.000445133 0.001054 0.000444 0.0010652 0.0004442 5747 1496 2442 982 38047 392639 9 240956 79646 1496 19.923828125 4.794921875 0.24609375 1.4150390625
map_5 42 0 5 5 5 1 1 0.001651041 0.000864875 0.0016679496 0.0008652084 0.001647 0.000863 0.0016654 0.0008636 8571 2450 2962 1309 100412 836418 1 428282 122510 2450 22.462890625 6.3916015625 0.2255859375 1.5703125
map_6 42 1 5 5 5 1 1 0.0017525 0.002888834 0.0017675252 0.0028898668 0.00175 0.002886 0.001766 0.0028884 9363 5490 3978 2538 70235 2817575 160 1610089 128129 5490 27.423828125 12.392578125 0.205078125 1.7314453125
map_7 42 0 5 5 5 1 1 0.001477375 0.0008715 0.001493725 0.0008684916 0.001477 0.000867 0.0014914 0.0008634 8117 2264 3425 1335 47360 779689 41 445374 108676 2264 24.7236328125 6.5185546875 0.251953125 1.4501953125
map_8 42 1 5 5 5 1 1 0.001526333 0.000223208 0.0015383832 0.0002241166 0.001525 0.000223 0.0015364 0.0002232 8110 954 3563 717 56834 178957 60 128482 114956 954 25.3974609375 3.5009765625 0.2373046875 1.3359375
map_9 42 0 5 5 5 1 1 0.001441958 0.002949834 0.0014522584 0.0029500418 0.001439 0.002947 0.0014502 0.002948 7867 4102 3502 2678 52180 2796985 34 1792500 108200 4102 25.099609375 13.076171875 0.2109375 1.7490234375
map_0 43 0 5 5 5 1 1 0.001741458 0.000632417 0.0017506582 0.000631725 0.001738 0.000631 0.001748 0.0006306 9242 2093 4104 1163 68479 571157 141 337842 123386 2093 28.0390625 5.6787109375 0.2490234375 1.4765625
map_1 43 1 5 5 5 1 1 0.001601209 0.000301583 0.0016178254 0.000302433 0.001601 0.000301 0.0016152 0.0003018 8599 1213 3330 788 73176 263949 93 155204 118846 1213 24.259765625 3.84765625 0.2373046875 1.40625
map_2 43 0 5 5 5 1 1 0.001475417 0.002145542 0.0014885502 0.0021452332 0.001472 0.002143 0.0014858 0.0021438 7857 24624 2514 1005 65157 2319826 173 252460 108632 24624 20.275390625 4.9072265625 0.2138671875 1.4912109375
map_3 43 1 5 5 5 1 1 0.002052375 0.005885208 0.0020591 0.0058854082 0.002049 0.005885 0.0020574 0.0058828 10898 6549 5127 3733 92472 5779496 586 3483510 139464 6547 33.0341796875 18.2275390625 0.193359375 1.58203125
map_4 43 0 5 5 5 1 1 0.001960417 0.000912125 0.0019797584 0.000911975 0.00196 0.000909 0.0019778 0.0009102 10611 2121 5059 1448 70737 834709 515 523710 147696 2121 32.7021484375 7.0703125 0.19921875 1.359375
map_5 43 1 5 5 5 1 1 0.001955959 0.001052458 0.0019637416 0.001054875 0.001953 0.001052 0.0019616 0.0010536 10281 2399 3139 1595 92758 938600 102 635955 131886 2399 23.3271484375 7.7880859375 0.2138671875 1.60546875
map_6 43 0 5 5 5 1 1 0.001941667 0.001050292 0.0019501834 0.0010527748 0.001939 0.001051 0.0019474 0.0010528 10474 2646 4098 1473 64197 1026592 397 542017 135205 2646 28.009765625 7.1923828125 0.2197265625 1.5029296875
map_7 43 1 5 5 5 1 1 0.002022958 0.002233375 0.0020230418 0.0022408082 0.00202 0.002233 0.0020204 0.0022402 10885 3680 5390 2233 70440 2169550 854 1245732 148466 3680 34.318359375 10.9033203125 0.263671875 1.4443359375
map_8 43 0 5 5 5 1 1 0.001922291 0.000669042 0.0019431666 0.0006716252 0.001922 0.000669 0.001943 0.0006706 10426 3772 4646 1017 82774 656729 632 258465 140495 3772 30.685546875 4.9658203125 0.26953125 1.5322265625
map_9 43 1 5 5 5 1 1 0.001656833 0.001368042 0.0016712416 0.0013678086 0.001653 0.001368 0.0016694 0.0013676 8747 2685 3472 1767 65706 1293570 42 779939 118970 2685 24.953125 8.6279296875 0.228515625 1.353515625
map_0 44 1 5 5 5 1 1 0.001560083 0.002682458 0.0015682582 0.00268165 0.00156 0.002679 0.0015674 0.002679 8365 4135 4243 2453 56489 2631848 87 1503482 123226 4134 28.7177734375 11.9775390625 0.2490234375 1.4765625
map_1 44 0 5 5 5 1 1 0.0017675 0.001109416 0.0017787166 0.0011088332 0.001764 0.001107 0.0017774 0.0011078 9410 2750 4074 1522 77756 1053973 213 578553 127459 2750 27.892578125 7.431640625 0.2314453125 1.4560546875
map_2 44 1 5 5 5 1 1 0.001307833 0.011336125 0.0013170836 0.0113399416 0.001306 0.011332 0.0013146 0.0113364 7072 9440 3163 5076 46496 11577046 102 6438967 93731 9440 23.4443359375 24.78515625 0.205078125 1.470703125
map_3 44 0 5 5 5 1 1 0.002234584 0.000599208 0.0022489002 0.0006001916 0.002232 0.000599 0.0022464 0.0005992 12000 2076 4396 1133 99364 539505 187 320780 153193 2076 29.46484375 5.5322265625 0.2255859375 1.46484375
map_4 44 1 5 5 5 1 1 0.001704625 0.0003845 0.0017391834 0.000385642 0.001705 0.000384 0.0017366 0.0003846 9122 1433 4513 884 64635 344091 623 195363 128115 1433 30.0361328125 4.31640625 0.2021484375 1.4267578125
map_5 44 0 5 5 5 1 1 0.001902916 0.0012725 0.0019165666 0.0012727996 0.001901 0.00127 0.0019152 0.0012714 9826 2892 4227 1642 112129 1228537 258 673946 134844 2892 28.6396484375 8.017578125 0.2021484375 1.646484375
map_6 44 1 5 5 5 1 1 0.001946542 0.000915375 0.0019564586 0.0009165 0.001946 0.000915 0.0019556 0.000915 10400 2323 4805 1418 81540 850946 128 502534 143754 2323 31.4619140625 6.923828125 0.240234375 1.541015625
map_7 44 0 5 5 5 1 1 0.001797375 0.001708334 0.0018093336 0.0017119752 0.001794 0.001707 0.0018066 0.001711 9621 3740 3841 1894 66763 1678349 215 895930 134824 3740 26.7548828125 9.248046875 0.228515625 1.2333984375
map_8 44 1 5 5 5 1 1 0.001688625 0.000348416 0.0017047084 0.000348633 0.001686 0.000348 0.0017036 0.000348 9007 1257 4373 906 61896 287761 326 205126 121057 1257 29.3525390625 4.423828125 0.24609375 1.435546875
map_9 44 0 5 5 5 1 1 0.001908291 0.000250166 0.0019298416 0.0002518582 0.001905 0.00025 0.0019266 0.0002506 10126 1103 5023 738 59602 206591 540 136126 138594 1103 32.5263671875 3.603515625 0.2138671875 1.3857421875
map_0 45 0 5 5 5 1 1 0.001470875 0.006431 0.0014823748 0.0064538084 0.001471 0.006428 0.0014814 0.006451 7697 7767 3427 3805 78788 6462434 29 3617670 101652 7767 24.7333984375 18.5791015625 0.24609375 1.4970703125
map_1 45 1 5 5 5 1 1 0.001862459 0.002718583 0.0018674836 0.0027166168 0.001859 0.002715 0.0018668 0.0027144 9928 4517 3883 2410 75787 2702521 313 1451132 135812 4517 26.9599609375 11.767578125 0.2314453125 1.587890625
map_2 45 0 5 5 5 1 1 0.001735167 0.000672834 0.0017448916 0.0006726252 0.001732 0.000672 0.0017424 0.0006718 9076 1971 3420 1204 75898 617739 143 362031 122604 1971 24.69921875 5.87890625 0.2255859375 1.423828125
map_3 45 1 5 5 5 1 1 0.001657917 0.013401875 0.0016742918 0.0134080748 0.001657 0.013401 0.001673 0.0134044 8888 9575 3435 5593 86891 13559536 201 7817933 118298 9574 24.7724609375 27.3095703125 0.2578125 1.494140625
map_4 45 0 5 5 5 1 1 0.0012235 0.000905375 0.0012352 0.0009092084 0.001223 0.000904 0.0012332 0.0009082 6520 9391 2439 1079 45040 818087 16 290856 87812 9391 19.9091796875 5.2685546875 0.1875 1.564453125
map_5 45 1 5 5 5 1 1 0.001707333 0.001613584 0.0017197996 0.0016144254 0.001705 0.001611 0.0017174 0.0016118 9057 3170 3670 1892 71385 1542475 302 894167 121871 3170 25.919921875 9.23828125 0.24609375 1.5205078125
map_6 45 0 5 5 5 1 1 0.001911 0.0006695 0.0019186418 0.0006703166 0.001907 0.00067 0.001916 0.0006694 10212 1835 5226 1239 70088 598588 337 383446 133835 1835 33.517578125 6.0498046875 0.2666015625 1.4326171875
map_7 45 1 5 5 5 1 1 0.001578792 0.000281334 0.0015856168 0.0002815002 0.001578 0.000281 0.0015842 0.0002812 8397 1126 3266 794 57406 232701 130 157565 117812 1126 23.947265625 3.876953125 0.240234375 1.412109375
map_8 45 0 5 5 5 1 1 0.001577625 0.001985375 0.0015905916 0.001984525 0.001578 0.001985 0.001589 0.0019838 8472 3392 3495 2124 67117 1895893 133 1126975 115160 3392 25.0654296875 10.37109375 0.263671875 1.4443359375
map_9 45 1 5 5 5 1 1 0.002057875 0.002196125 0.0020138666 0.0021965916 0.002053 0.002195 0.002011 0.0021948 10079 4561 4616 2192 61812 2130651 413 1200753 141280 4561 30.5390625 10.703125 0.2255859375 1.5966796875
map_0 46 1 5 5 5 1 1 0.001913291 0.00056425 0.0019153078 0.0005761832 0.001913 0.000563 0.001915 0.0005756 10067 1869 5360 1091 63261 508884 132 297526 141759 1869 34.171875 5.3271484375 0.234375 1.505859375
map_1 46 0 5 5 5 1 1 0.0018445 0.0006555 0.0018569334 0.0006588582 0.001842 0.000654 0.0018544 0.0006578 9862 1989 3340 1165 78816 606839 119 339295 134077 1989 24.30859375 5.6884765625 0.2373046875 1.541015625
map_2 46 1 5 5 5 1 1 0.001523833 0.001219292 0.0015427998 0.0012195752 0.001524 0.001217 0.0015428 0.0012174 8162 2978 4334 1594 50178 1177321 87 634774 111801 2978 29.162109375 7.783203125 0.234375 1.51171875
map_3 46 0 5 5 5 1 1 0.001710125 0.005985792 0.0017271998 0.0059846502 0.00171 0.005985 0.0017236 0.005984 9039 7375 4014 3698 69379 5974950 95 3418015 127996 7375 27.599609375 18.056640625 0.2724609375 1.822265625
map_4 46 1 5 5 5 1 1 0.001538083 0.000580584 0.0015587168 0.0005809086 0.001537 0.00058 0.0015562 0.0005796 8278 1737 3836 1117 55270 527765 107 311682 111436 1737 26.73046875 5.4541015625 0.2109375 1.353515625
map_5 46 0 5 5 5 1 1 0.001799125 0.001114334 0.0018120498 0.0011160836 0.001796 0.001114 0.0018094 0.001115 9499 2578 3738 1586 73336 1023572 319 628487 127092 2578 26.251953125 7.744140625 0.1728515625 1.470703125
map_6 46 1 5 5 5 1 1 0.001971833 0.002490667 0.0019636582 0.002490975 0.001971 0.00249 0.0019622 0.0024898 10410 7506 4498 2127 64546 2536465 199 1130441 145364 7506 29.962890625 10.3857421875 0.2255859375 1.4765625
map_7 46 0 5 5 5 1 1 0.002009542 0.001900959 0.00199735 0.0019126336 0.002007 0.001898 0.0019934 0.0019072 10297 4086 4907 1939 75770 1904400 454 939509 138954 4086 31.9599609375 9.4677734375 0.1875 1.76953125
map_8 46 1 5 5 5 1 1 0.001393917 0.000501583 0.001406625 0.0005017002 0.001393 0.000501 0.001405 0.0005008 7421 1538 2951 1079 52068 435002 22 290803 102505 1538 22.4091796875 5.2685546875 0.234375 1.3447265625
