# map seed opt_first repeats opt_success con_success opt_deterministic con_deterministic opt_run_time con_run_time opt_wall_mean con_wall_mean opt_cpu_time con_cpu_time opt_cpu_mean con_cpu_mean opt_iterations con_iterations opt_nodes con_nodes opt_nn_checks con_nn_checks opt_connection_checks con_connection_checks opt_collision_checks con_collision_checks opt_tree_mem con_tree_mem opt_path_mem con_path_mem
map_0 42 1 5 5 5 1 1 0.002087583 0.002270834 0.0020916 0.002279575 0.002085 0.002268 0.0020902 0.0022774 11080 16466 1070 1440 94955 2527604 116 517991 134630 16466 13.224609375 7.03125 0.2138671875 1.5322265625
map_1 42 0 5 5 5 1 1 0.002252333 0.001365958 0.0022554582 0.0013671582 0.002253 0.001365 0.002254 0.0013662 11949 3990 1824 1427 106865 1501714 197 508815 129022 3990 16.90625 6.9677734375 0.2021484375 1.546875
map_2 42 1 5 5 5 1 1 0.002042917 0.00090425 0.0020519502 0.0009050168 0.002043 0.000901 0.0020512 0.0009022 10731 6227 1709 1184 119106 856414 102 350042 133085 6227 16.3447265625 5.78125 0.2080078125 1.341796875
map_3 42 0 5 5 5 1 1 0.002471375 0.000261166 0.0024788168 0.0002578334 0.002468 0.000261 0.0024754 0.000257 13087 1166 2363 734 104184 224493 113 134613 162271 1166 19.5380859375 3.583984375 0.1962890625 1.388671875
map_4 42 1 5 5 5 1 1 0.002851208 0.002148792 0.0028553498 0.002149475 0.002851 0.002145 0.002853 0.0021464 14929 8787 2750 1680 173274 2405709 73 704976 185243 8787 21.427734375 8.203125 0.2783203125 1.5205078125
map_5 42 0 5 5 5 1 1 0.001501584 0.001581834 0.001505325 0.001586225 0.001498 0.001581 0.0015026 0.0015836 7906 6867 953 1485 78050 1701730 246 550980 81839 6867 12.6533203125 7.2509765625 0.1962890625 1.6376953125
map_6 42 1 5 5 5 1 1 0.002128917 0.021448833 0.0021429084 0.0214799916 0.002128 0.021442 0.0021408 0.0214758 11303 25737 1974 4670 106982 28124681 297 5451276 136793 25736 17.638671875 22.802734375 0.2109375 1.8486328125
map_7 42 0 5 5 5 1 1 0.0025725 0.003765792 0.002576158 0.003769875 0.002572 0.003763 0.0025744 0.003767 13561 6774 1538 2498 133961 4206986 4 1559161 152240 6774 15.509765625 12.197265625 0.2607421875 1.5673828125
map_8 42 1 5 5 5 1 1 0.003584583 0.004188959 0.0035859502 0.004189175 0.003584 0.004186 0.0035834 0.0041866 18714 18139 3085 2293 211172 4758767 184 1313819 233355 18139 23.0634765625 11.1962890625 0.2666015625 1.7490234375
map_9 42 0 5 5 5 1 1 0.003970542 0.002087083 0.0039859002 0.0020868248 0.003971 0.002084 0.0039836 0.0020846 21488 42763 3134 885 258627 1777907 42 195692 202311 42763 23.302734375 4.3212890625 0.2607421875 1.3798828125
map_0 43 0 5 5 5 1 1 0.001385542 0.002482417 0.001388275 0.0024830252 0.001382 0.002479 0.0013856 0.0024804 7299 5412 478 1964 61471 2769634 34 963845 81330 5412 10.333984375 9.58984375 0.2021484375 1.5087890625
