# map seed opt_first repeats opt_success con_success opt_deterministic con_deterministic opt_run_time con_run_time opt_wall_mean con_wall_mean opt_cpu_time con_cpu_time opt_cpu_mean con_cpu_mean opt_iterations con_iterations opt_nodes con_nodes opt_nn_checks con_nn_checks opt_connection_checks con_connection_checks opt_collision_checks con_collision_checks opt_tree_mem con_tree_mem opt_path_mem con_path_mem
map_0 42 1 5 5 5 1 1 0.001500291 0.001068625 0.0015036248 0.001068008 0.001501 0.001066 0.0015016 0.0010664 7848 2871 2158 1465 72178 1038790 345 536120 106997 2871 18.537109375 7.1533203125 0.1962890625 1.5
map_1 42 0 5 5 5 1 1 0.000966791 0.000401 0.0009819998 0.0004009084 0.000966 0.000401 0.0009804 0.0004004 5263 2138 1993 835 35408 366585 90 174282 70459 2138 17.7314453125 4.0771484375 0.193359375 1.39453125
map_2 42 1 5 5 5 1 1 0.001509208 0.006470541 0.0015346416 0.006470425 0.001509 0.006468 0.001534 0.0064676 8210 13780 3506 3762 65089 6423171 225 3538143 105813 13780 25.119140625 18.369140625 0.2138671875 1.9189453125
map_3 42 0 5 5 5 1 1 0.001831 0.000724 0.0018473748 0.0007234584 0.001829 0.000722 0.0018452 0.0007222 9954 1912 5181 1301 66581 643085 714 423009 127389 1912 33.2978515625 6.3525390625 0.2431640625 1.4619140625
map_4 42 1 5 5 5 1 1 0.00131675 0.001033042 0.001327058 0.0010333832 0.001316 0.001032 0.0013252 0.0010322 7103 2462 2361 1503 59063 969303 28 564183 98452 2462 19.5283203125 7.3388671875 0.193359375 1.330078125
map_5 42 0 5 5 5 1 1 0.001433125 0.001997666 0.0014396916 0.0019984914 0.001431 0.001997 0.001438 0.0019978 7629 3698 2038 2086 57850 1956603 44 1087260 103416 3698 17.951171875 10.185546875 0.1875 1.51171875
map_6 42 1 5 5 5 1 1 0.001177 0.000322792 0.0012011418 0.000323767 0.001177 0.000322 0.0011972 0.0003226 6210 1112 2155 896 46747 258232 25 200541 82481 1112 18.5224609375 4.375 0.2255859375 1.353515625
map_7 42 0 5 5 5 1 1 0.001813834 0.009443083 0.0018306834 0.0094407086 0.001812 0.00944 0.0018286 0.009438 9761 7876 4498 4736 79458 9383922 341 5606438 130008 7875 29.962890625 23.125 0.24609375 1.5263671875
map_8 42 1 5 5 5 1 1 0.001129875 0.001217917 0.0011383332 0.0012177502 0.001131 0.001217 0.0011372 0.0012168 5989 2647 1610 1622 69993 1171186 61 657355 80119 2647 15.861328125 7.919921875 0.2255859375 1.423828125
map_9 42 0 5 5 5 1 1 0.0019545 0.001831875 0.0019334662 0.0018319918 0.001955 0.001829 0.001932 0.0018298 10387 3170 5568 2116 71978 1682865 295 1119058 142850 3170 35.1875 10.33203125 0.2431640625 1.3916015625
map_0 43 0 5 5 5 1 1 0.002540417 0.000384709 0.0025635248 0.00038495 0.002539 0.000384 0.0025618 0.000384 13465 1412 5148 915 126549 335814 468 209253 183952 1412 33.13671875 4.4677734375 0.2490234375 1.40625
map_1 43 1 5 5 5 1 1 0.001401917 0.00147 0.0014113836 0.0014633832 0.001398 0.001467 0.0014096 0.0014604 7562 2772 2808 1832 47779 1357208 29 838667 101178 2772 21.7109375 8.9453125 0.1728515625 1.353515625
map_2 43 0 5 5 5 1 1 0.001579791 0.000788292 0.0016000916 0.0008359002 0.001576 0.000785 0.001597 0.000835 8619 2031 4257 1339 58880 682837 357 447888 110012 2031 28.7861328125 6.5380859375 0.251953125 1.40625
map_3 43 1 5 5 5 1 1 0.001130583 0.001495209 0.0011351666 0.0014996334 0.00113 0.001492 0.001132 0.0014976 5861 2832 2068 1869 36547 1395644 78 872781 79990 2832 18.09765625 9.1259765625 0.181640625 1.3037109375
map_4 43 0 5 5 5 1 1 0.001736208 0.00076125 0.0017500916 0.0007639834 0.001734 0.00076 0.001748 0.0007632 9439 2185 2918 1266 64507 704673 141 400423 118826 2185 22.248046875 6.181640625 0.228515625 1.4736328125
map_5 43 1 5 5 5 1 1 0.001329167 0.001581167 0.0013313668 0.0015814332 0.001325 0.00158 0.0013296 0.00158 7100 10454 2120 1590 47972 1518873 78 631619 93754 10454 18.3515625 7.763671875 0.2138671875 1.4970703125
map_6 43 0 5 5 5 1 1 0.001653667 0.000346042 0.0016552084 0.0003457418 0.001651 0.000346 0.001652 0.0003454 8804 1183 2560 903 61435 288598 54 203690 98386 1183 20.5 4.4091796875 0.240234375 1.3330078125
map_7 43 1 5 5 5 1 1 0.001588833 0.000813666 0.0016026166 0.0008139914 0.001586 0.000813 0.0016002 0.0008134 8562 2135 3143 1341 58266 747623 68 449166 108479 2135 23.3466796875 6.5478515625 0.1787109375 1.53515625
map_8 43 0 5 5 5 1 1 0.001640584 0.008026 0.0016566998 0.0080266252 0.001637 0.008024 0.0016542 0.0080234 8960 7342 3570 4323 72153 8051629 242 4670739 123396 7342 25.431640625 21.1083984375 0.2138671875 1.5732421875
map_9 43 1 5 5 5 1 1 0.001833292 0.000320708 0.0018461834 0.0003216998 0.001833 0.00032 0.0018448 0.0003212 9759 1332 4753 812 78238 278970 427 164762 129587 1332 31.2080078125 3.96484375 0.263671875 1.447265625
map_0 44 1 5 5 5 1 1 0.001420166 0.001021375 0.0014252666 0.0010220418 0.00142 0.001022 0.0014242 0.0010218 7592 2524 2761 1461 57260 981035 27 533198 102158 2524 21.4814453125 7.1337890625 0.2197265625 1.3857421875
map_1 44 0 5 5 5 1 1 0.00197625 0.001341583 0.0019561666 0.0013522582 0.001975 0.001333 0.0019544 0.0013442 10405 2751 5159 1734 72871 1217988 681 751059 136131 2751 33.1904296875 8.466796875 0.1875 1.470703125
map_2 44 1 5 5 5 1 1 0.001141 0.003768125 0.0011501502 0.0037689832 0.001139 0.003768 0.0011482 0.0037688 6082 38502 1896 1912 48621 3822872 15 913107 78034 38502 17.2578125 9.3359375 0.2373046875 1.3623046875
map_3 44 0 5 5 5 1 1 0.001100666 0.001154333 0.0011134916 0.001155275 0.0011 0.001154 0.001112 0.0011546 5947 2437 3021 1636 38989 1067961 25 668611 82078 2437 22.7509765625 7.98828125 0.228515625 1.39453125
map_4 44 1 5 5 5 1 1 0.001647458 0.003503166 0.0016599418 0.0035080246 0.001647 0.0035 0.0016592 0.003505 8710 5250 3364 2690 81809 3598866 36 1808150 120649 5250 24.42578125 13.134765625 0.2109375 1.51171875
