# map seed opt_first repeats opt_success con_success opt_deterministic con_deterministic opt_run_time con_run_time opt_wall_mean con_wall_mean opt_cpu_time con_cpu_time opt_cpu_mean con_cpu_mean opt_iterations con_iterations opt_nodes con_nodes opt_nn_checks con_nn_checks opt_connection_checks con_connection_checks opt_collision_checks con_collision_checks opt_tree_mem con_tree_mem opt_path_mem con_path_mem
map_0 42 1 5 5 5 1 1 0.000816625 0.001226125 0.0008556752 0.0013583668 0.000817 0.001223 0.0008478 0.0013562 4433 2278 2870 1800 21033 1061699 49 809213 65309 2278 22.013671875 8.7890625 0.1875 1.3037109375
map_1 42 0 5 5 5 1 1 0.000982708 0.001311791 0.0009963666 0.0013154584 0.000982 0.00131 0.0009954 0.0013148 5412 2439 3679 1846 31353 1150923 101 851174 81406 2439 25.9638671875 9.013671875 0.205078125 1.3330078125
map_2 42 1 5 5 5 1 1 0.001284 0.001492417 0.0012925168 0.0014918166 0.001281 0.001491 0.0012914 0.001491 7055 2729 4977 1914 44027 1359216 385 915392 96767 2729 32.3017578125 9.345703125 0.2255859375 1.4970703125
map_3 42 0 5 5 5 1 1 0.001274875 0.000525625 0.0012979414 0.0005298084 0.001272 0.000525 0.0012952 0.0005278 7081 1466 5854 1162 40718 430168 471 337294 107881 1465 36.583984375 5.673828125 0.2138671875 1.34765625
map_4 42 1 5 5 5 1 1 0.000920333 0.000677667 0.0009308418 0.0007403 0.000921 0.000671 0.0009292 0.000739 5035 1611 3240 1315 30448 553018 40 432226 74060 1611 23.8203125 6.4208984375 0.17578125 1.5029296875
map_5 42 0 5 5 5 1 1 0.000996583 0.000633542 0.0010067082 0.0006343752 0.000994 0.00063 0.001005 0.0006328 5540 1602 3893 1295 30148 518866 168 418940 79665 1602 27.0087890625 6.3232421875 0.19921875 1.3623046875
map_6 42 1 5 5 5 1 1 0.001282875 0.001794167 0.0013009082 0.00179385 0.001282 0.001791 0.0012996 0.0017912 7232 3024 6558 2150 38166 1599511 976 1154659 109559 3024 40.021484375 10.498046875 0.2197265625 1.30078125
map_7 42 0 5 5 5 1 1 0.001017416 0.000818125 0.0010323666 0.0008182082 0.001014 0.000817 0.00103 0.0008176 5675 1899 4848 1489 28655 674636 299 553846 86498 1898 31.671875 7.2705078125 0.1787109375 1.4853515625
map_8 42 1 5 5 5 1 1 0.001033667 0.000652375 0.001053175 0.0006521168 0.001033 0.000651 0.0010518 0.0006508 5770 1562 4300 1344 30079 523385 219 451105 83833 1562 28.99609375 6.5625 0.1962890625 1.2919921875
map_9 42 0 5 5 5 1 1 0.001381875 0.000390833 0.0013927998 0.0003913418 0.001381 0.000391 0.0013906 0.0003906 7499 1232 6100 989 36217 320779 1016 244355 110066 1232 37.78515625 4.8291015625 0.2431640625 1.3505859375
map_0 43 0 5 5 5 1 1 0.000712958 0.000592625 0.0007240086 0.0005920584 0.000711 0.000591 0.0007224 0.000591 3951 1479 2033 1257 21464 485660 13 394638 55017 1479 17.9267578125 6.1376953125 0.1669921875 1.3505859375
map_1 43 1 5 5 5 1 1 0.001294833 0.000889958 0.0013104664 0.0008922834 0.001291 0.000887 0.0013084 0.000889 7215 1960 5301 1521 39441 755515 406 577977 103604 1960 33.8837890625 7.4267578125 0.1845703125 1.4033203125
map_2 43 0 5 5 5 1 1 0.001391833 0.001669708 0.0014034918 0.0016700666 0.001391 0.001667 0.001401 0.0016666 7655 2682 4367 2136 39110 1438082 499 1140500 108169 2682 29.3232421875 10.4296875 0.1904296875 1.3916015625
map_3 43 1 5 5 5 1 1 0.001118125 0.000325958 0.0011240916 0.000326483 0.001115 0.000322 0.0011226 0.000325 6034 1084 4277 922 34477 249034 277 212376 88153 1084 28.8837890625 4.501953125 0.2138671875 1.388671875
map_4 43 0 5 5 5 1 1 0.001018833 0.001042625 0.0010239666 0.0010428584 0.001016 0.001042 0.0010228 0.0010418 5501 2229 3118 1649 36620 896070 16 679265 78720 2229 23.224609375 8.0517578125 0.1962890625 1.4150390625
map_5 43 1 5 5 5 1 1 0.001001875 0.000309333 0.0010124998 0.0003102084 0.000999 0.000309 0.0010104 0.0003094 5501 1024 3444 916 27633 236422 126 209721 78709 1024 24.81640625 4.47265625 0.1875 1.3623046875
map_6 43 0 5 5 5 1 1 0.001015417 0.000559458 0.0010313502 0.0005598498 0.001015 0.000558 0.0010302 0.0005588 5671 1507 3694 1222 31771 451628 96 372922 83875 1507 26.037109375 5.966796875 0.1728515625 1.34765625
map_7 43 1 5 5 5 1 1 0.000913833 0.000545583 0.0009150668 0.0005464666 0.00091 0.000546 0.0009132 0.0005456 4940 1522 3945 1173 24984 456984 116 343691 74250 1522 27.2626953125 5.7275390625 0.1787109375 1.3916015625
map_8 43 0 5 5 5 1 1 0.001219292 0.000265625 0.0012335502 0.0002666832 0.001216 0.000265 0.0012314 0.0002658 6726 927 5305 849 34323 201482 418 180048 99344 927 33.9033203125 4.1455078125 0.205078125 1.3095703125
map_9 43 1 5 5 5 1 1 0.001263791 0.000485875 0.0012798418 0.000486425 0.00126 0.000485 0.001278 0.0004848 6941 1320 5126 1149 36835 385508 339 329697 100339 1320 33.029296875 5.6103515625 0.2197265625 1.3154296875
map_0 44 1 5 5 5 1 1 0.001085083 0.000568292 0.0011082248 0.0005694086 0.001086 0.000568 0.0011062 0.000569 6156 1515 4818 1203 37646 476682 400 361551 90340 1515 31.525390625 5.8740234375 0.1669921875 1.435546875
map_1 44 0 5 5 5 1 1 0.001163958 0.000241667 0.001165375 0.0002417582 0.001163 0.000241 0.0011638 0.0002412 6369 916 4525 798 39251 182430 466 159195 91259 916 30.0947265625 3.896484375 0.193359375 1.376953125
map_2 44 1 5 5 5 1 1 0.00111275 0.00409375 0.0011284918 0.0043994166 0.001112 0.004093 0.001128 0.004398 6225 4266 4480 3298 39075 3575355 184 2717679 86470 4266 29.875 16.103515625 0.2138671875 1.3623046875
map_3 44 0 5 5 5 1 1 0.001296792 0.000837 0.0013148666 0.00083685 0.001296 0.000834 0.0013128 0.0008348 7059 1874 5966 1519 37448 682660 459 576814 108064 1874 37.130859375 7.4169921875 0.1962890625 1.423828125
map_4 44 1 5 5 5 1 1 0.001128792 0.000601375 0.0011465918 0.0006520666 0.001125 0.000599 0.001145 0.0006506 6362 1532 4981 1203 39659 470530 292 361455 91828 1532 32.3212890625 5.8740234375 0.1962890625 1.3857421875
map_5 44 0 5 5 5 1 1 0.001015875 0.001762042 0.0010257414 0.0017632 0.001015 0.001761 0.0010254 0.0017624 5583 2604 3651 2243 32329 1484405 158 1257420 81361 2604 25.8271484375 10.9521484375 0.193359375 1.4208984375
map_6 44 1 5 5 5 1 1 0.001216292 0.00051875 0.001238017 0.0005188002 0.001216 0.000518 0.001236 0.0005182 6758 1399 5444 1188 39371 414007 327 352501 99210 1399 34.58203125 5.80078125 0.205078125 1.3798828125
map_7 44 0 5 5 5 1 1 0.000678334 0.001582666 0.0006854666 0.0016980916 0.000678 0.00158 0.0006846 0.0016964 3708 2664 2674 2014 18704 1371515 124 1013186 55197 2664 21.056640625 9.833984375 0.1318359375 1.3623046875
map_8 44 1 5 5 5 1 1 0.001226333 0.00030975 0.001245275 0.0003090834 0.001226 0.000308 0.0012442 0.0003082 6811 1055 5814 884 33514 238438 665 195232 102172 1055 36.388671875 4.31640625 0.19921875 1.376953125
map_9 44 0 5 5 5 1 1 0.001316333 0.000235042 0.0013200416 0.000234975 0.001316 0.000235 0.001319 0.0002346 7085 864 4228 789 39388 176765 164 155591 98711 864 28.64453125 3.8525390625 0.205078125 1.3505859375
map_0 45 0 5 5 5 1 1 0.000948709 0.000943083 0.0009593834 0.0009602332 0.000948 0.000942 0.0009564 0.0009582 5257 1938 3571 1576 27978 793138 185 620384 77965 1938 25.4365234375 7.6953125 0.1640625 1.37109375
map_1 45 1 5 5 5 1 1 0.000981375 0.000914875 0.0009927832 0.000915525 0.000978 0.000912 0.0009914 0.0009128 5400 2027 3978 1535 26696 784461 25 588860 79816 2027 27.423828125 7.4951171875 0.2255859375 1.58203125
map_2 45 0 5 5 5 1 1 0.001181541 0.000356708 0.0011999746 0.0003575836 0.001181 0.000357 0.0011992 0.0003568 6623 1168 4179 957 42106 285846 255 228833 92727 1168 28.4052734375 4.6728515625 0.2021484375 1.4091796875
map_3 45 1 5 5 5 1 1 0.000969875 0.000272417 0.0009803582 0.0002715916 0.000966 0.00027 0.0009784 0.0002706 5373 1043 4336 820 32945 211325 70 168011 77850 1043 29.171875 4.00390625 0.1875 1.4267578125
map_4 45 0 5 5 5 1 1 0.000920541 0.000339917 0.0009306168 0.0003400416 0.00092 0.00034 0.0009294 0.0003398 4980 1175 2569 923 29725 273027 25 212793 71863 1175 20.5439453125 4.5068359375 0.1669921875 1.376953125
map_5 45 1 5 5 5 1 1 0.001301417 0.000875417 0.0013018582 0.0008745416 0.001301 0.000873 0.0012978 0.0008736 6899 1906 4826 1553 37514 717207 470 602506 101293 1906 31.564453125 7.5830078125 0.1845703125 1.453125
map_6 45 0 5 5 5 1 1 0.001186125 0.000249667 0.0011929666 0.0002514836 0.001182 0.000249 0.0011896 0.0002506 6595 958 5182 798 36883 190896 190 159187 100152 958 33.302734375 3.896484375 0.193359375 1.3828125
map_7 45 1 5 5 5 1 1 0.00084025 0.000371125 0.0008489834 0.000371075 0.000841 0.000371 0.000848 0.0003702 4632 1227 3506 972 22022 296911 29 236108 70237 1227 25.119140625 4.74609375 0.169921875 1.4033203125
map_8 45 0 5 5 5 1 1 0.001261667 0.002188875 0.0012752416 0.0021927334 0.001258 0.002187 0.0012732 0.0021908 6987 3229 5957 2402 34867 1950100 475 1441414 106018 3229 37.0869140625 11.728515625 0.2021484375 1.365234375
map_9 45 1 5 5 5 1 1 0.001121458 0.0012875 0.0011306166 0.0012873586 0.001118 0.001284 0.0011288 0.0012848 6132 2501 4607 1846 33062 1103072 61 851859 90609 2501 30.4951171875 9.013671875 0.234375 1.53515625
map_0 46 1 5 5 5 1 1 0.001125666 0.001173083 0.0011438582 0.0011734418 0.001125 0.001174 0.0011436 0.0011734 6324 2232 3758 1756 37304 1015626 801 770488 89194 2232 26.349609375 8.57421875 0.1640625 1.423828125
map_1 46 0 5 5 5 1 1 0.001063666 0.000343291 0.0010742916 0.0003434164 0.001061 0.000342 0.0010722 0.0003426 5823 1266 3890 920 32268 274516 160 211425 84051 1266 26.994140625 4.4921875 0.2021484375 1.3564453125
