# map seed success status cycles time_ms start_nodes goal_nodes path_nodes
# status: 0=PASS 1=TIMEOUT 2=X_PROPAGATION 3=PATH_CHECK_FAIL
0 42 1 0 237727 0.784499100 2645 2681 64
0 43 1 0 279745 0.923158500 3173 2858 74
0 44 1 0 237547 0.783905100 2351 2281 64
0 45 1 0 261963 0.864477900 2650 2886 61
0 46 1 0 253319 0.835952700 1556 2873 71
0 47 1 0 158529 0.523145700 1127 1348 64
0 48 1 0 251421 0.829689300 2447 2890 70
0 49 1 0 204181 0.673797300 1160 2045 64
0 50 1 0 311021 1.026369300 1856 4166 64
0 51 1 0 206674 0.682024200 1683 2070 72
0 52 1 0 224706 0.741529800 1857 2345 60
0 53 1 0 177938 0.587195400 1111 1656 63
0 54 1 0 200531 0.661752300 1959 1785 70
0 55 1 0 212898 0.702563400 2065 1770 60
0 56 1 0 199672 0.658917600 2030 1553 70
0 57 1 0 225926 0.745555800 1557 2236 72
0 58 1 0 170112 0.561369600 1481 1325 65
0 59 1 0 247439 0.816548700 2438 2539 79
0 60 1 0 208104 0.686743200 1438 1683 69
0 61 1 0 240158 0.792521400 2829 2735 67
0 62 1 0 263158 0.868421400 2417 2953 73
0 63 1 0 227450 0.750585000 1275 2661 56
0 64 1 0 251041 0.828435300 1858 2250 74
0 65 1 0 222934 0.735682200 1544 2152 62
0 66 1 0 275513 0.909192900 2209 2884 60
0 67 1 0 213849 0.705701700 1415 2484 62
0 68 1 0 230418 0.760379400 2132 2523 58
0 69 1 0 307890 1.016037000 2966 3980 67
0 70 1 0 263497 0.869540100 1840 3002 75
0 71 1 0 158202 0.522066600 1097 969 58
0 72 1 0 218618 0.721439400 2036 2487 64
0 73 1 0 196589 0.648743700 972 1678 55
0 74 1 0 294048 0.970358400 3159 3822 71
0 75 1 0 233047 0.769055100 1852 2603 68
0 76 1 0 257132 0.848535600 2284 2882 73
0 77 1 0 259349 0.855851700 2281 2703 57
0 78 1 0 239870 0.791571000 1923 2095 70
0 79 1 0 229027 0.755789100 2136 1866 66
0 80 1 0 215056 0.709684800 1617 2486 62
0 81 1 0 215992 0.712773600 2048 2293 68
0 82 1 0 233300 0.769890000 1367 2507 74
0 83 1 0 248312 0.819429600 2113 2570 70
0 84 1 0 160357 0.529178100 984 1402 63
0 85 1 0 246599 0.813776700 1875 2703 61
0 86 1 0 233573 0.770790900 1769 2169 74
0 87 1 0 267376 0.882340800 2815 2908 70
0 88 1 0 253250 0.835725000 2149 3312 62
0 89 1 0 125208 0.413186400 1063 818 62
0 90 1 0 247117 0.815486100 2457 2601 68
0 91 1 0 222117 0.732986100 1152 2341 73
1 42 1 0 212107 0.699953100 1882 2009 68
1 43 1 0 202113 0.666972900 1769 1882 58
1 44 1 0 204274 0.674104200 1961 1873 68
1 45 1 0 160513 0.529692900 1150 1919 58
1 46 1 0 241995 0.798583500 2374 2858 74
1 47 1 0 175970 0.580701000 1357 2178 67
1 48 1 0 224998 0.742493400 2218 2464 60
1 49 1 0 200119 0.660392700 1829 2078 62
1 50 1 0 240271 0.792894300 1802 3170 72
1 51 1 0 216827 0.715529100 2026 2632 66
1 52 1 0 233280 0.769824000 2365 2827 58
1 53 1 0 192484 0.635197200 2086 2151 74
1 54 1 0 217599 0.718076700 2028 2470 76
1 55 1 0 218955 0.722551500 2191 2499 81
1 56 1 0 197177 0.650684100 2081 2362 68
1 57 1 0 185835 0.613255500 1538 1925 68
1 58 1 0 194175 0.640777500 1745 2326 60
1 59 1 0 187391 0.618390300 1606 1695 64
1 60 1 0 210716 0.695362800 1967 2591 66
1 61 1 0 269631 0.889782300 3238 3103 58
1 62 1 0 201177 0.663884100 1767 2504 65
1 63 1 0 139575 0.460597500 972 1399 61
1 64 1 0 271220 0.895026000 2185 1872 65
1 65 1 0 231767 0.764831100 1915 3139 70
1 66 1 0 272538 0.899375400 2676 2744 66
1 67 1 0 209211 0.690396300 1498 2365 74
1 68 1 0 225595 0.744463500 2242 2512 75
1 69 1 0 198103 0.653739900 1674 2068 68
1 70 1 0 223953 0.739044900 2029 2089 63
1 71 1 0 211356 0.697474800 2008 2594 69
1 72 1 0 238647 0.787535100 2489 3179 63
1 73 1 0 264900 0.874170000 2545 3164 70
1 74 1 0 134575 0.444097500 1101 1155 67
1 75 1 0 206687 0.682067100 2058 2377 63
1 76 1 0 224497 0.740840100 2090 2818 67
1 77 1 0 159374 0.525934200 1190 1945 59
1 78 1 0 215798 0.712133400 1898 2345 66
1 79 1 0 196305 0.647806500 1487 1976 70
1 80 1 0 222128 0.733022400 2006 2357 77
1 81 1 0 191850 0.633105000 1382 1962 70
1 82 1 0 207132 0.683535600 2194 2006 70
1 83 1 0 250853 0.827814900 2363 2946 72
1 84 1 0 224056 0.739384800 2383 2718 66
1 85 1 0 210389 0.694283700 2131 2723 68
1 86 1 0 218529 0.721145700 2002 2657 66
1 87 1 0 202762 0.669114600 1654 1991 66
1 88 1 0 239179 0.789290700 2065 2495 70
1 89 1 0 157838 0.520865400 1172 1817 59
1 90 1 0 174577 0.576104100 1226 2034 70
1 91 1 0 275642 0.909618600 3629 3315 71
2 42 1 0 193105 0.637246500 968 1607 58
2 43 1 0 266595 0.879763500 2392 2913 71
2 44 1 0 211215 0.697009500 1093 2002 54
2 45 1 0 263353 0.869064900 2284 2931 73
2 46 1 0 221287 0.730247100 1658 2325 65
2 47 1 0 175177 0.578084100 1147 1797 72
2 48 1 0 265257 0.875348100 1918 2723 63
2 49 1 0 267460 0.882618000 1740 2553 66
2 50 1 0 186894 0.616750200 1394 1709 67
2 51 1 0 259923 0.857745900 2333 2705 83
2 52 1 0 237980 0.785334000 985 2573 61
2 53 1 0 273489 0.902513700 1981 2815 68
2 54 1 0 253319 0.835952700 2074 2596 70
2 55 1 0 259777 0.857264100 2184 2658 70
2 56 1 0 193737 0.639332100 849 2074 62
2 57 1 0 231116 0.762682800 2328 2307 69
2 58 1 0 232039 0.765728700 2359 2203 63
2 59 1 0 177938 0.587195400 1491 1429 70
2 60 1 0 306109 1.010159700 3157 3305 78
2 61 1 0 264230 0.871959000 2886 2623 66
2 62 1 0 286926 0.946855800 2287 3144 77
2 63 1 0 210677 0.695234100 881 1987 57
2 64 1 0 280401 0.925323300 1589 3702 63
2 65 1 0 294128 0.970622400 2490 3209 63
2 66 1 0 232922 0.768642600 1911 1916 61
2 67 1 0 207233 0.683868900 1660 2303 55
2 68 1 0 312927 1.032659100 1647 3711 72
2 69 1 0 239458 0.790211400 1642 2431 67
2 70 1 0 235642 0.777618600 2409 2347 72
2 71 1 0 200280 0.660924000 1830 2309 68
2 72 1 0 201894 0.666250200 1285 2009 64
2 73 1 0 273527 0.902639100 3180 2828 67
2 74 1 0 219106 0.723049800 2118 1818 58
2 75 1 0 306627 1.011869100 2991 3320 61
2 76 1 0 235981 0.778737300 1787 2457 62
2 77 1 0 285645 0.942628500 2605 3083 67
2 78 1 0 319957 1.055858100 2750 3964 71
2 79 1 0 261171 0.861864300 1645 2973 77
2 80 1 0 226282 0.746730600 2229 2360 57
2 81 1 0 267152 0.881601600 2048 2680 74
2 82 1 0 209704 0.692023200 2118 2185 59
2 83 1 0 228190 0.753027000 2619 2175 59
2 84 1 0 267841 0.883875300 2106 3509 77
2 85 1 0 250383 0.826263900 1905 3030 66
2 86 1 0 230678 0.761237400 1179 2142 70
2 87 1 0 219929 0.725765700 1117 2688 71
2 88 1 0 165684 0.546757200 907 1909 54
2 89 1 0 251690 0.830577000 1547 2498 72
2 90 1 0 254279 0.839120700 3099 2941 73
2 91 1 0 220885 0.728920500 1243 2383 51
3 42 1 0 165115 0.544879500 1027 1660 57
3 43 1 0 172515 0.569299500 1524 1679 60
3 44 1 0 255930 0.844569000 2699 2265 63
3 45 1 0 205097 0.676820100 2257 2384 62
3 46 1 0 217105 0.716446500 2052 2223 56
3 47 1 0 238337 0.786512100 1766 2822 56
3 48 1 0 244286 0.806143800 1944 2891 70
3 49 1 0 228600 0.754380000 1760 2750 56
3 50 1 0 162808 0.537266400 1537 1550 61
3 51 1 0 232512 0.767289600 1855 2408 66
3 52 1 0 211354 0.697468200 1621 2192 65
3 53 1 0 253770 0.837441000 2182 3216 63
3 54 1 0 272504 0.899263200 2658 3605 72
3 55 1 0 244329 0.806285700 2911 2373 79
3 56 1 0 257511 0.849786300 2595 2458 54
3 57 1 0 270607 0.893003100 3101 2293 72
3 58 1 0 221458 0.730811400 2099 2203 69
3 59 1 0 282534 0.932362200 2923 3285 70
3 60 1 0 198206 0.654079800 2035 1535 67
3 61 1 0 179990 0.593967000 1690 1540 64
3 62 1 0 207975 0.686317500 2101 2532 69
3 63 1 0 265102 0.874836600 2955 2896 67
3 64 1 0 191633 0.632388900 1176 1588 64
3 65 1 0 220498 0.727643400 1860 2173 69
3 66 1 0 199647 0.658835100 1532 2113 77
3 67 1 0 286404 0.945133200 2544 2844 82
3 68 1 0 208939 0.689498700 1568 2119 69
3 69 1 0 242188 0.799220400 2077 3149 71
3 70 1 0 251789 0.830903700 2765 2950 70
3 71 1 0 202758 0.669101400 1959 2551 64
3 72 1 0 275163 0.908037900 3205 3395 69
3 73 1 0 263881 0.870807300 2759 3249 69
3 74 1 0 246748 0.814268400 2322 2965 62
3 75 1 0 209481 0.691287300 1664 2570 67
3 76 1 0 261374 0.862534200 2704 3268 78
3 77 1 0 271167 0.894851100 3359 3062 72
3 78 1 0 234648 0.774338400 2273 2279 61
3 79 1 0 195455 0.645001500 1485 1933 61
3 80 1 0 239473 0.790260900 2585 2209 69
3 81 1 0 269951 0.890838300 2683 3471 71
3 82 1 0 295523 0.975225900 2526 4309 75
3 83 1 0 196837 0.649562100 2132 2027 56
3 84 1 0 246726 0.814195800 2676 2624 59
3 85 1 0 260561 0.859851300 3208 3168 67
3 86 1 0 227960 0.752268000 1779 2876 67
3 87 1 0 203058 0.670091400 1505 2212 62
3 88 1 0 203039 0.670028700 2003 2288 61
3 89 1 0 173649 0.573041700 1287 1464 62
3 90 1 0 219815 0.725389500 2510 2497 66
3 91 1 0 247711 0.817446300 2277 2925 67
4 42 1 0 221382 0.730560600 1943 2733 66
4 43 1 0 250795 0.827623500 2306 3193 70
4 44 1 0 223889 0.738833700 2102 2097 74
4 45 1 0 174228 0.574952400 1230 1756 68
4 46 1 0 174073 0.574440900 1563 2180 64
4 47 1 0 223344 0.737035200 2344 1683 78
4 48 1 0 306262 1.010664600 2641 4363 72
4 49 1 0 193672 0.639117600 1329 1995 74
4 50 1 0 191364 0.631501200 1724 1912 71
4 51 1 0 211189 0.696923700 1566 2242 57
4 52 1 0 234581 0.774117300 2949 2837 74
4 53 1 0 156551 0.516618300 896 1494 55
4 54 1 0 202397 0.667910100 1416 2347 72
4 55 1 0 216213 0.713502900 1701 2275 63
4 56 1 0 228824 0.755119200 2755 2867 74
4 57 1 0 200337 0.661112100 1728 2194 70
4 58 1 0 205694 0.678790200 1709 2289 76
4 59 1 0 212857 0.702428100 2249 2120 53
4 60 1 0 159064 0.524911200 1117 1224 53
4 61 1 0 167928 0.554162400 1165 1689 63
4 62 1 0 190650 0.629145000 1646 2203 64
4 63 1 0 255020 0.841566000 3219 3232 80
4 64 1 0 189638 0.625805400 1449 2182 65
4 65 1 0 214293 0.707166900 1847 2451 62
4 66 1 0 199555 0.658531500 1896 2058 75
4 67 1 0 256562 0.846654600 2642 2404 68
4 68 1 0 243053 0.802074900 2263 2716 69
4 69 1 0 258358 0.852581400 3171 2637 72
4 70 1 0 215439 0.710948700 2355 1884 70
4 71 1 0 294455 0.971701500 3061 3024 67
4 72 1 0 226090 0.746097000 2307 2684 69
4 73 1 0 259262 0.855564600 2461 3285 71
4 74 1 0 235076 0.775750800 2470 2744 71
4 75 1 0 271930 0.897369000 1991 3057 61
4 76 1 0 214646 0.708331800 2111 2355 63
4 77 1 0 249462 0.823224600 2485 2806 70
4 78 1 0 224421 0.740589300 1708 2910 69
4 79 1 0 247113 0.815472900 1781 3343 64
4 80 1 0 245100 0.808830000 2677 3009 73
4 81 1 0 222755 0.735091500 1756 2362 55
4 82 1 0 253070 0.835131000 2896 2969 61
4 83 1 0 284540 0.938982000 2835 3916 73
4 84 1 0 210791 0.695610300 1715 2391 58
4 85 1 0 196930 0.649869000 2107 1591 73
4 86 1 0 201665 0.665494500 2235 2185 71
4 87 1 0 211165 0.696844500 1509 2243 66
4 88 1 0 269628 0.889772400 2709 2534 84
4 89 1 0 242330 0.799689000 2313 2715 66
4 90 1 0 239505 0.790366500 2463 2401 72
4 91 1 0 226832 0.748545600 1903 1618 74
5 42 1 0 220927 0.729059100 1538 1928 62
5 43 1 0 236818 0.781499400 1903 2971 64
5 44 1 0 113690 0.375177000 515 473 49
5 45 1 0 248084 0.818677200 2583 1675 48
5 46 1 0 235541 0.777285300 1692 1784 48
5 47 1 0 249874 0.824584200 1929 1722 71
5 48 1 0 222316 0.733642800 1314 1970 70
5 49 1 0 205309 0.677519700 1375 2438 48
5 50 1 0 229590 0.757647000 2016 3572 69
5 51 1 0 254455 0.839701500 1577 3558 59
5 52 1 0 187356 0.618274800 1613 1389 65
5 53 1 0 243166 0.802447800 1637 2541 68
5 54 1 0 211037 0.696422100 1624 1583 64
5 55 1 0 285468 0.942044400 2174 2825 64
5 56 1 0 242333 0.799698900 2086 2759 52
5 57 1 0 280532 0.925755600 2241 3323 76
5 58 1 0 189667 0.625901100 1187 1584 67
5 59 1 0 233219 0.769622700 1799 1783 62
5 60 1 0 252318 0.832649400 2002 2891 68
5 61 1 0 267789 0.883703700 1788 2472 54
5 62 1 0 200164 0.660541200 1281 2370 79
5 63 1 0 236678 0.781037400 1631 2568 67
5 64 1 0 207686 0.685363800 1175 2269 67
5 65 1 0 177435 0.585535500 942 1684 70
5 66 1 0 226779 0.748370700 1462 1891 67
5 67 1 0 189353 0.624864900 830 989 58
5 68 1 0 160310 0.529023000 1067 1380 47
5 69 1 0 226015 0.745849500 1676 1989 68
5 70 1 0 250503 0.826659900 1668 2756 60
5 71 1 0 199539 0.658478700 1220 1383 72
5 72 1 0 235317 0.776546100 1309 2663 57
5 73 1 0 207839 0.685868700 1206 1518 72
5 74 1 0 178116 0.587782800 1206 1848 67
5 75 1 0 84007 0.277223100 317 634 46
5 76 1 0 220499 0.727646700 2150 2649 73
5 77 1 0 178356 0.588574800 1147 1631 49
5 78 1 0 182225 0.601342500 1056 2125 44
5 79 1 0 258467 0.852941100 1474 2527 74
5 80 1 0 189062 0.623904600 1096 1808 52
5 81 1 0 238931 0.788472300 1801 2561 63
5 82 1 0 226563 0.747657900 1766 2013 66
5 83 1 0 245234 0.809272200 1690 2465 66
5 84 1 0 218125 0.719812500 1514 1812 82
5 85 1 0 158395 0.522703500 1045 1582 64
5 86 1 0 269146 0.888181800 2420 2468 73
5 87 1 0 246056 0.811984800 1856 3121 65
5 88 1 0 168301 0.555393300 894 1052 58
5 89 1 0 197722 0.652482600 1350 2291 63
5 90 1 0 184993 0.610476900 789 1832 63
5 91 1 0 193290 0.637857000 1073 2314 65
6 42 1 0 264244 0.872005200 2443 2088 67
6 43 1 0 220105 0.726346500 2239 2211 66
6 44 1 0 316367 1.044011100 3335 3827 66
6 45 1 0 257923 0.851145900 2418 1650 66
6 46 1 0 301985 0.996550500 2912 3186 65
6 47 1 0 201922 0.666342600 1644 942 70
6 48 1 0 213602 0.704886600 2282 1514 71
6 49 1 0 220558 0.727841400 1969 1285 63
6 50 1 0 265388 0.875780400 2033 2447 61
6 51 1 0 260377 0.859244100 2082 2089 74
6 52 1 0 217584 0.718027200 2173 1598 69
6 53 1 0 216850 0.715605000 2266 1487 72
6 54 1 0 277213 0.914802900 2359 2540 61
6 55 1 0 251359 0.829484700 2296 2025 57
6 56 1 0 244628 0.807272400 2722 1488 72
6 57 1 0 249018 0.821759400 3238 1805 76
6 58 1 0 232974 0.768814200 2471 1133 60
6 59 1 0 260450 0.859485000 3258 1449 65
6 60 1 0 245382 0.809760600 2482 1735 65
6 61 1 0 223348 0.737048400 2426 1829 65
6 62 1 0 245716 0.810862800 2053 1620 68
6 63 1 0 227131 0.749532300 2423 1059 61
6 64 1 0 239066 0.788917800 2425 2012 76
6 65 1 0 245710 0.810843000 2482 1937 57
6 66 1 0 239369 0.789917700 2080 1406 63
6 67 1 0 233198 0.769553400 2704 1580 60
6 68 1 0 265031 0.874602300 2067 2756 55
6 69 1 0 248115 0.818779500 2722 2722 77
6 70 1 0 217921 0.719139300 1824 1575 67
6 71 1 0 221114 0.729676200 2165 1700 57
6 72 1 0 236696 0.781096800 2326 1357 71
6 73 1 0 280769 0.926537700 2907 3016 71
6 74 1 0 237406 0.783439800 2792 2252 64
6 75 1 0 264786 0.873793800 3312 1955 71
6 76 1 0 193830 0.639639000 1705 1506 65
6 77 1 0 248334 0.819502200 2628 1864 74
6 78 1 0 245424 0.809899200 2161 2615 63
6 79 1 0 201382 0.664560600 1691 1335 54
6 80 1 0 231018 0.762359400 2130 1536 62
6 81 1 0 215882 0.712410600 1749 1481 66
6 82 1 0 264202 0.871866600 2854 1606 60
6 83 1 0 212585 0.701530500 1796 1023 68
6 84 1 0 244674 0.807424200 2758 2776 57
6 85 1 0 198954 0.656548200 1471 1234 56
6 86 1 0 228532 0.754155600 2143 1671 71
6 87 1 0 237790 0.784707000 2522 1088 73
6 88 1 0 246211 0.812496300 2466 2088 72
