# map seed success status cycles time_ms start_nodes goal_nodes path_nodes
# status: 0=PASS 1=TIMEOUT 2=X_PROPAGATION 3=PATH_CHECK_FAIL
0 42 1 0 403212 1.330599600 2274 2726 74
0 43 1 0 309885 1.022620500 1342 1888 61
0 44 1 0 371180 1.224894000 1039 2775 69
0 45 1 0 409168 1.350254400 2022 3254 71
0 46 1 0 362967 1.197791100 1674 2002 60
0 47 1 0 315450 1.040985000 949 2174 82
0 48 1 0 412222 1.360332600 1384 2786 83
0 49 1 0 409516 1.351402800 1748 2840 82
0 50 1 0 483109 1.594259700 1156 3206 76
0 51 1 0 458285 1.512340500 1100 3071 71
0 52 1 0 349622 1.153752600 1316 2765 92
0 53 1 0 513360 1.694088000 1697 3715 75
0 54 1 0 388066 1.280617800 2027 2630 71
0 55 1 0 527029 1.739195700 1394 5314 98
0 56 1 0 337821 1.114809300 1560 2183 72
0 57 1 0 306582 1.011720600 520 1953 77
0 58 1 0 506504 1.671463200 992 3787 75
0 59 1 0 401905 1.326286500 875 3155 73
0 60 1 0 409805 1.352356500 515 2736 74
0 61 1 0 497124 1.640509200 579 3627 90
0 62 1 0 529257 1.746548100 451 4006 86
0 63 1 0 509591 1.681650300 497 3055 97
0 64 1 0 472421 1.558989300 551 4785 87
0 65 1 0 477723 1.576485900 1850 3664 84
0 66 1 0 330628 1.091072400 1036 1304 63
0 67 1 0 543272 1.792797600 662 5581 84
0 68 1 0 392100 1.293930000 1296 2946 74
0 69 1 0 363433 1.199328900 1159 2176 73
0 70 1 0 334081 1.102467300 1178 2187 67
0 71 1 0 361130 1.191729000 687 2502 92
0 72 1 0 504624 1.665259200 815 4257 85
0 73 1 0 411772 1.358847600 391 3769 90
0 74 1 0 351978 1.161527400 1222 2022 81
0 75 1 0 539520 1.780416000 2188 3956 70
0 76 1 0 550435 1.816435500 581 5955 91
0 77 1 0 370578 1.222907400 2435 2833 79
0 78 1 0 425309 1.403519700 935 2632 79
0 79 1 0 533551 1.760718300 806 4406 75
0 80 1 0 416967 1.375991100 1355 3480 79
0 81 1 0 357780 1.180674000 2050 2682 89
0 82 1 0 354291 1.169160300 1105 2235 85
0 83 1 0 378287 1.248347100 2046 2138 77
0 84 1 0 346812 1.144479600 1839 2587 70
0 85 1 0 506174 1.670374200 586 5301 96
0 86 1 0 302552 0.998421600 2070 1465 87
0 87 1 0 287985 0.950350500 1322 1006 82
0 88 1 0 368906 1.217389800 1553 2732 89
0 89 1 0 444822 1.467912600 1205 3788 82
0 90 1 0 308278 1.017317400 1283 2072 63
0 91 1 0 336958 1.111961400 1429 2571 80
1 42 1 0 396731 1.309212300 267 2736 62
1 43 1 0 359206 1.185379800 654 2500 63
1 44 1 0 444619 1.467242700 1916 3595 74
1 45 1 0 239890 0.791637000 402 1401 67
1 46 1 0 290525 0.958732500 572 2220 67
1 47 1 0 309674 1.021924200 1103 2389 87
1 48 1 0 455648 1.503638400 755 3690 78
1 49 1 0 363476 1.199470800 427 3272 76
1 50 1 0 369876 1.220590800 958 2837 70
1 51 1 0 303533 1.001658900 602 2282 80
1 52 1 0 400753 1.322484900 1065 3163 92
1 53 1 0 304389 1.004483700 704 2219 70
1 54 1 0 341768 1.127834400 1663 2170 67
1 55 1 0 506622 1.671852600 561 5193 87
1 56 1 0 336273 1.109700900 742 2698 70
1 57 1 0 308604 1.018393200 903 2622 81
1 58 1 0 333893 1.101846900 659 1924 75
1 59 1 0 295764 0.976021200 1465 2127 76
1 60 1 0 393074 1.297144200 885 3489 73
1 61 1 0 367303 1.212099900 715 3228 75
1 62 1 0 425021 1.402569300 802 3721 75
1 63 1 0 357396 1.179406800 1570 2661 74
